learning rate,weight decay,num_epochs,batch_size,step_size,dims,MSE_weight,perceptual_weight,out_channels,noise,noise_types,IMAGES_PATH,target_loss
0.01,1.00E-05,600,8,150,2,1,0,64,0.2,normal,images2d_small_shape,0.0022
0.01,1.00E-05,600,8,100,3,1,0,64,0.2,normal,images2d_small_shape,0.0037
0.01,1.00E-05,600,16,150,3,1,0,64,0.2,normal,images2d_small_shape,0.001668
0.001,1.00E-05,6000,16,3000,2,0.7,0.3,128,0.2,normal,images2d_large_shape,0.024563
0.001,1.00E-05,6000,16,3000,2,0,1,128,0.2,normal,images2d_large_shape,0.391211
0.01,1.00E-05,300,4,75,2,0.3,0.7,128,0.1,normal,images2d_small_shape,0.792512
0.01,1.00E-05,300,4,75,2,0.3,0.7,128,0.2,normal,images2d_small_shape,0.79286
0.01,1.00E-05,300,4,75,2,0.3,0.7,128,0.5,normal,images2d_small_shape,0.792885
0.01,1.00E-05,300,4,75,2,0.3,0.7,256,0.1,normal,images2d_small_shape,4.426702
0.01,1.00E-05,300,4,75,2,0.3,0.7,256,0.2,normal,images2d_small_shape,0.792274
0.01,1.00E-05,300,4,75,2,0.3,0.7,64,0.1,normal,images2d_small_shape,0.213269
0.01,1.00E-05,300,4,75,2,0.3,0.7,64,0.2,normal,images2d_small_shape,0.22702
0.01,1.00E-05,300,4,75,2,0.3,0.7,64,0.5,normal,images2d_small_shape,0.792076
0.01,1.00E-05,300,4,75,2,1,0,128,0.1,normal,images2d_small_shape,0.002619
0.01,1.00E-05,300,4,75,2,1,0,128,0.1,white,images2d_small_shape,0.002678
0.01,1.00E-05,300,4,75,2,1,0,128,0.2,normal,images2d_small_shape,0.002875
0.01,1.00E-05,300,4,75,2,1,0,128,0.5,normal,images2d_small_shape,0.003514
0.01,1.00E-05,300,4,75,2,1,0,256,0.1,normal,images2d_small_shape,0.003151
0.01,1.00E-05,300,4,75,2,1,0,256,0.2,normal,images2d_small_shape,0.003093
0.01,1.00E-05,300,4,75,2,1,0,256,0.5,normal,images2d_small_shape,0.004146
0.01,1.00E-05,300,4,75,2,1,0,64,0.1,normal,images2d_small_shape,0.00266
0.01,1.00E-05,300,4,75,2,1,0,64,0.1,white,images2d_small_shape,0.00371
0.01,1.00E-05,300,4,75,2,1,0,64,0.2,normal,images2d_small_shape,0.002793
0.01,1.00E-05,300,4,75,2,1,0,64,0.2,white,images2d_small_shape,0.003125
0.01,1.00E-05,300,4,75,2,1,0,64,0.5,normal,images2d_small_shape,0.003654
0.01,1.00E-05,300,4,75,2,1,0,64,0.5,white,images2d_small_shape,0.004329
0.01,1.00E-05,600,16,150,2,1,0,128,0.2,white,images2d_small_shape,0.003141
0.01,1.00E-05,600,16,150,2,1,0,256,0.2,white,images2d_small_shape,0.002903
0.01,1.00E-05,600,8,150,2,1,0,128,0.2,white,images2d_small_shape,0.002632
0.01,1.00E-05,600,8,150,3,1,0,64,0.2,white,images3d_background_color,0.003013
